Data; Wartość kWh;Rodzaj;
30.10.2022 1:00;0,220;pobór;
30.10.2022 2:00;0,221;pobór;
30.10.2022 3:00;0,221;pobór;
30.10.2022 3:00;0,222;pobór;
30.10.2022 4:00;0,221;pobór;
30.10.2022 5:00;0,216;pobór;
30.10.2022 6:00;0,215;pobór;
30.10.2022 7:00;0,197;pobór;
30.10.2022 8:00;0,051;pobór;
30.10.2022 9:00;0,004;pobór;
30.10.2022 10:00;0,000;pobór;
30.10.2022 11:00;0,000;pobór;
30.10.2022 12:00;0,000;pobór;
30.10.2022 13:00;0,000;pobór;
30.10.2022 14:00;0,000;pobór;
30.10.2022 15:00;0,000;pobór;
30.10.2022 16:00;0,050;pobór;
30.10.2022 17:00;0,214;pobór;
30.10.2022 18:00;0,220;pobór;
30.10.2022 19:00;0,221;pobór;
30.10.2022 20:00;0,227;pobór;
30.10.2022 21:00;0,219;pobór;
30.10.2022 22:00;0,267;pobór;
30.10.2022 23:00;0,270;pobór;
30.10.2022 24:00;0,315;pobór;
30.10.2022 1:00;0,000;oddanie;
30.10.2022 2:00;0,000;oddanie;
30.10.2022 3:00;0,000;oddanie;
30.10.2022 3:00;0,000;oddanie;
30.10.2022 4:00;0,000;oddanie;
30.10.2022 5:00;0,000;oddanie;
30.10.2022 6:00;0,000;oddanie;
30.10.2022 7:00;0,000;oddanie;
30.10.2022 8:00;0,090;oddanie;
30.10.2022 9:00;0,423;oddanie;
30.10.2022 10:00;1,294;oddanie;
30.10.2022 11:00;1,423;oddanie;
30.10.2022 12:00;1,790;oddanie;
30.10.2022 13:00;1,674;oddanie;
30.10.2022 14:00;1,619;oddanie;
30.10.2022 15:00;1,223;oddanie;
30.10.2022 16:00;0,329;oddanie;
30.10.2022 17:00;0,001;oddanie;
30.10.2022 18:00;0,000;oddanie;
30.10.2022 19:00;0,000;oddanie;
30.10.2022 20:00;0,000;oddanie;
30.10.2022 21:00;0,000;oddanie;
30.10.2022 22:00;0,000;oddanie;
30.10.2022 23:00;0,000;oddanie;
30.10.2022 24:00;0,000;oddanie;
